48	Z3	0,22 0,16 0,22 0,27 0,12 	0,23 0,23 0,23 0,23 0,08 
49	Z4	0,22 0,16 0,22 0,26 0,14 	0,23 0,23 0,23 0,23 0,08 
50	Z3	0,22 0,16 0,22 0,27 0,14 	0,23 0,23 0,23 0,23 0,08 
51	Z3	0,21 0,15 0,21 0,29 0,13 	0,23 0,23 0,23 0,23 0,08 
52	Z2	0,21 0,15 0,23 0,28 0,13 	0,23 0,23 0,23 0,23 0,08 
53	Z1	0,20 0,17 0,22 0,28 0,13 	0,23 0,23 0,23 0,23 0,08 
54	Z1	0,20 0,18 0,22 0,27 0,13 	0,23 0,23 0,23 0,23 0,08 
55	Z2	0,20 0,18 0,23 0,27 0,13 	0,23 0,23 0,23 0,23 0,08 
56	Z2	0,19 0,18 0,25 0,26 0,12 	0,23 0,23 0,23 0,23 0,08 
57	Z3	0,19 0,17 0,24 0,28 0,12 	0,23 0,23 0,23 0,23 0,08 
58	Z4	0,19 0,17 0,24 0,27 0,14 	0,23 0,23 0,23 0,23 0,08 
59	Z3	0,18 0,17 0,23 0,28 0,13 	0,23 0,23 0,23 0,23 0,08 
60	Z3	0,18 0,16 0,23 0,30 0,13 	0,23 0,23 0,23 0,23 0,08 
61	Z3	0,18 0,16 0,23 0,31 0,13 	0,23 0,23 0,23 0,23 0,08 
62	Z4	0,17 0,16 0,22 0,30 0,14 	0,23 0,23 0,23 0,23 0,08 
63	Z3	0,17 0,16 0,22 0,31 0,14 	0,23 0,23 0,23 0,23 0,08 
64	Z3	0,17 0,15 0,22 0,32 0,14 	0,23 0,23 0,23 0,23 0,08 
65	Z3	0,17 0,15 0,21 0,33 0,14 	0,23 0,23 0,23 0,23 0,08 
66	Z2	0,16 0,15 0,22 0,33 0,13 	0,23 0,23 0,23 0,23 0,08 
67	Z2	0,16 0,15 0,24 0,32 0,13 	0,23 0,23 0,23 0,23 0,08 
68	Z1	0,16 0,16 0,23 0,32 0,13 	0,23 0,23 0,23 0,23 0,08 
69	Z2	0,16 0,16 0,24 0,31 0,13 	0,23 0,23 0,23 0,23 0,08 
70	Z2	0,15 0,15 0,25 0,31 0,13 	0,23 0,23 0,23 0,23 0,08 
71	Z3	0,15 0,15 0,25 0,32 0,13 	0,23 0,23 0,23 0,23 0,08 
